Code Class,Name,Accession,20180209_USDA 45 020918_1 B cell _07.RCC,20180209_USDA 45 020918_1 CD4+ CD8+_03.RCC,20180209_USDA 45 020918_1 CD4+ CD8-_04.RCC,20180209_USDA 45 020918_1 CD4- CD8+_05.RCC,20180209_USDA 45 020918_1 Gd T cell_01.RCC,20180209_USDA 45 020918_1 Monocyte_02.RCC,20180209_USDA 45 020918_1 NK cell_06.RCC,20180209_USDA 45 020918_2 CD4+ CD8+_10.RCC,20180209_USDA 45 020918_2 CD4+ CD8-_12.RCC,20180209_USDA 45 020918_2 CD4- CD8+_11.RCC,20180209_USDA 45 020918_2 Gd T cell_08.RCC,20180209_USDA 45 020918_2 Monocyte_09.RCC,20180209_USDA 46 020918_1 PBMC_10.RCC,20180209_USDA 46 020918_2 B cell _02.RCC,20180209_USDA 46 020918_2 NK cell_01.RCC,20180209_USDA 46 020918_2 PBMC_11.RCC,20180209_USDA 46 020918_3 B cell _09.RCC,20180209_USDA 46 020918_3 CD4+ CD8+_05.RCC,20180209_USDA 46 020918_3 CD4+ CD8-_06.RCC,20180209_USDA 46 020918_3 CD4- CD8+_07.RCC,20180209_USDA 46 020918_3 Gd T cell_03.RCC,20180209_USDA 46 020918_3 Monocyte_04.RCC,20180209_USDA 46 020918_3 NK cell_08.RCC,20180209_USDA 46 020918_3 PBMC_12.RCC
Endogenous,ADAM17,ADAM17,24,35,25,47,16,32,34,23,23,14,29,42,21,13,14,22,30,16,21,19,16,18,39,22
Endogenous,ALOX5,ALOX5,2,1,1,4,1,9,5,4,2,1,3,9,1,1,2,3,2,1,3,1,2,9,7,2
Endogenous,ARG2,ARG2,2,6,11,22,5,28,2,13,11,6,16,25,11,1,2,9,4,13,21,4,6,16,13,1
Endogenous,ARNT,ARNT,79,130,125,175,166,68,127,102,77,76,130,154,111,95,132,86,66,104,87,70,111,73,131,83
Endogenous,ATM,ATM,56,65,107,172,108,44,98,94,87,73,95,64,110,62,104,54,81,91,156,80,91,40,134,72
Endogenous,B2M,B2M,2072,5189,3467,5256,4356,3892,5254,5214,2853,3592,3967,4383,3917,1904,5541,3298,2736,4712,3720,4283,4398,3569,6837,2997
Endogenous,BAK1,BAK1,52,63,41,88,65,24,47,44,33,48,50,48,62,68,62,55,48,48,45,43,44,31,52,58
Endogenous,BCL2A1,BCL2A1,44,24,48,84,18,61,51,46,48,52,78,58,56,52,50,35,57,42,66,81,62,57,49,35
Endogenous,BCL2L1,BCL2L1,56,73,41,110,21,23,98,90,42,60,94,31,81,51,132,29,41,47,57,89,55,46,114,38
Endogenous,BID,BID,29,57,41,73,41,30,42,36,40,27,92,62,49,46,60,44,41,46,72,48,86,53,59,35
Endogenous,BIRC3,BIRC3,224,370,343,318,399,302,211,479,328,248,480,222,304,328,178,275,251,321,243,177,290,168,163,225
Endogenous,BIRC6,BIRC6,103,183,223,354,224,122,199,182,192,166,227,128,217,133,181,125,68,165,195,132,220,67,144,150
Endogenous,BLNK,BLNK,174,3,2,7,1,152,7,2,2,7,9,149,158,205,10,168,193,8,6,5,4,108,20,149
