Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
Pig-1-PBMC-1_S42_L003_R1_001	pass	0.0	pass	28.0	Sanger / Illumina 1.9	fail	pass	pass	28.0	Conventional base calls	pass	pass	10774353.0	pass	fail	pass	44.0	85.5968036771	Pig-1-PBMC-1_S42_L003_R1_001.fastq.gz	pass	pass
Pig-1-PBMC-1_S42_L003_R2_001	pass	0.0	fail	100.0	Sanger / Illumina 1.9	fail	pass	pass	100.0	Conventional base calls	pass	fail	10774353.0	pass	warn	warn	47.0	45.7354772605	Pig-1-PBMC-1_S42_L003_R2_001.fastq.gz	fail	pass
Pig-1-PBMC-1_S51_L005_R1_001	pass	0.0	pass	26.0	Sanger / Illumina 1.9	fail	pass	pass	26.0	Conventional base calls	pass	pass	6308453.0	pass	warn	pass	48.0	80.4678822111	Pig-1-PBMC-1_S51_L005_R1_001.fastq.gz	fail	pass
Pig-1-PBMC-1_S51_L005_R2_001	pass	0.0	fail	100.0	Sanger / Illumina 1.9	fail	fail	pass	100.0	Conventional base calls	pass	fail	6308453.0	pass	fail	warn	47.0	49.2136155495	Pig-1-PBMC-1_S51_L005_R2_001.fastq.gz	fail	pass
Pig-1-PBMC-1_S51_L006_R1_001	pass	0.0	pass	26.0	Sanger / Illumina 1.9	fail	pass	pass	26.0	Conventional base calls	pass	pass	9876813.0	pass	warn	pass	48.0	79.1561327891	Pig-1-PBMC-1_S51_L006_R1_001.fastq.gz	pass	pass
Pig-1-PBMC-1_S51_L006_R2_001	pass	0.0	fail	100.0	Sanger / Illumina 1.9	fail	warn	pass	100.0	Conventional base calls	pass	fail	9876813.0	pass	fail	warn	47.0	44.3460441776	Pig-1-PBMC-1_S51_L006_R2_001.fastq.gz	fail	pass
Pig-1-PBMC-1_S51_L007_R1_001	pass	0.0	pass	26.0	Sanger / Illumina 1.9	fail	pass	pass	26.0	Conventional base calls	pass	pass	9060063.0	pass	warn	pass	48.0	79.0239062972	Pig-1-PBMC-1_S51_L007_R1_001.fastq.gz	pass	pass
Pig-1-PBMC-1_S51_L007_R2_001	pass	0.0	fail	100.0	Sanger / Illumina 1.9	fail	fail	pass	100.0	Conventional base calls	pass	fail	9060063.0	pass	fail	warn	46.0	47.4918862026	Pig-1-PBMC-1_S51_L007_R2_001.fastq.gz	fail	pass
Pig-1-PBMC-1_S51_L008_R1_001	pass	0.0	pass	26.0	Sanger / Illumina 1.9	fail	pass	pass	26.0	Conventional base calls	pass	pass	8286225.0	pass	warn	pass	48.0	79.4728617712	Pig-1-PBMC-1_S51_L008_R1_001.fastq.gz	pass	pass
Pig-1-PBMC-1_S51_L008_R2_001	pass	0.0	fail	100.0	Sanger / Illumina 1.9	fail	warn	pass	100.0	Conventional base calls	pass	fail	8286225.0	pass	fail	warn	47.0	46.369150838	Pig-1-PBMC-1_S51_L008_R2_001.fastq.gz	fail	pass
Pig-1-PBMC-2_S43_L003_R1_001	pass	0.0	pass	28.0	Sanger / Illumina 1.9	fail	pass	pass	28.0	Conventional base calls	pass	pass	9840668.0	pass	fail	pass	44.0	85.731044867	Pig-1-PBMC-2_S43_L003_R1_001.fastq.gz	pass	pass
Pig-1-PBMC-2_S43_L003_R2_001	pass	0.0	fail	100.0	Sanger / Illumina 1.9	fail	pass	pass	100.0	Conventional base calls	pass	fail	9840668.0	pass	warn	warn	47.0	45.363780568	Pig-1-PBMC-2_S43_L003_R2_001.fastq.gz	fail	pass
Pig-1-PBMC-2_S52_L005_R1_001	pass	0.0	pass	26.0	Sanger / Illumina 1.9	fail	pass	pass	26.0	Conventional base calls	pass	pass	5461361.0	pass	warn	pass	48.0	80.5965911134	Pig-1-PBMC-2_S52_L005_R1_001.fastq.gz	fail	pass
Pig-1-PBMC-2_S52_L005_R2_001	pass	0.0	fail	100.0	Sanger / Illumina 1.9	fail	warn	pass	100.0	Conventional base calls	pass	fail	5461361.0	pass	fail	warn	47.0	48.1433820774	Pig-1-PBMC-2_S52_L005_R2_001.fastq.gz	fail	pass
Pig-1-PBMC-2_S52_L006_R1_001	pass	0.0	pass	26.0	Sanger / Illumina 1.9	fail	pass	pass	26.0	Conventional base calls	pass	pass	8712903.0	pass	warn	pass	48.0	79.0684456161	Pig-1-PBMC-2_S52_L006_R1_001.fastq.gz	pass	pass
Pig-1-PBMC-2_S52_L006_R2_001	pass	0.0	fail	100.0	Sanger / Illumina 1.9	fail	warn	pass	100.0	Conventional base calls	pass	fail	8712903.0	pass	fail	warn	47.0	43.6363926126	Pig-1-PBMC-2_S52_L006_R2_001.fastq.gz	fail	pass
