Sample	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-percent_gc
Pig-2-PBMC-1_S58_L003_R1_001	16.6666666667	28.0	15.8408656875	13122588.0	44.0
Pig-2-PBMC-1_S58_L003_R2_001	25.0	100.0	52.4592742525	13122588.0	46.0
Pig-2-PBMC-1_S67_L005_R1_001	16.6666666667	26.0	20.1402339827	6818126.0	48.0
Pig-2-PBMC-1_S67_L005_R2_001	25.0	100.0	48.2378936107	6818126.0	46.0
Pig-2-PBMC-1_S67_L006_R1_001	8.33333333333	26.0	21.2017325851	10592729.0	48.0
Pig-2-PBMC-1_S67_L006_R2_001	33.3333333333	100.0	53.121468146	10592729.0	46.0
Pig-2-PBMC-1_S67_L007_R1_001	8.33333333333	26.0	21.7169049593	9754219.0	48.0
Pig-2-PBMC-1_S67_L007_R2_001	33.3333333333	100.0	50.7733908631	9754219.0	46.0
Pig-2-PBMC-1_S67_L008_R1_001	8.33333333333	26.0	21.0208072178	8982244.0	48.0
Pig-2-PBMC-1_S67_L008_R2_001	33.3333333333	100.0	51.5696182212	8982244.0	46.0
Pig-2-PBMC-2_S59_L003_R1_001	16.6666666667	28.0	16.8871198123	15270991.0	44.0
Pig-2-PBMC-2_S59_L003_R2_001	25.0	100.0	54.0720923803	15270991.0	47.0
Pig-2-PBMC-2_S68_L005_R1_001	16.6666666667	26.0	20.5692709273	7870699.0	48.0
Pig-2-PBMC-2_S68_L005_R2_001	33.3333333333	100.0	49.4145416811	7870699.0	46.0
Pig-2-PBMC-2_S68_L006_R1_001	8.33333333333	26.0	22.0200287601	12260062.0	48.0
Pig-2-PBMC-2_S68_L006_R2_001	33.3333333333	100.0	54.6471617663	12260062.0	46.0
Pig-2-PBMC-2_S68_L007_R1_001	8.33333333333	26.0	22.2594340266	11208458.0	48.0
Pig-2-PBMC-2_S68_L007_R2_001	41.6666666667	100.0	51.740296105	11208458.0	46.0
Pig-2-PBMC-2_S68_L008_R1_001	8.33333333333	26.0	21.4082636802	10338560.0	48.0
Pig-2-PBMC-2_S68_L008_R2_001	33.3333333333	100.0	52.6064355933	10338560.0	46.0
Pig-2-PBMC-3_S60_L003_R1_001	16.6666666667	28.0	18.390010675	17867058.0	44.0
Pig-2-PBMC-3_S60_L003_R2_001	33.3333333333	100.0	54.0324178582	17867058.0	47.0
Pig-2-PBMC-3_S69_L005_R1_001	16.6666666667	26.0	21.2105220773	8975574.0	48.0
Pig-2-PBMC-3_S69_L005_R2_001	33.3333333333	100.0	49.4459978985	8975574.0	46.0
Pig-2-PBMC-3_S69_L006_R1_001	8.33333333333	26.0	23.2330898048	14113017.0	48.0
Pig-2-PBMC-3_S69_L006_R2_001	41.6666666667	100.0	51.7221441361	14113017.0	46.0
Pig-2-PBMC-3_S69_L007_R1_001	8.33333333333	26.0	22.8896742487	12741816.0	48.0
Pig-2-PBMC-3_S69_L007_R2_001	41.6666666667	100.0	50.7041633551	12741816.0	46.0
Pig-2-PBMC-3_S69_L008_R1_001	8.33333333333	26.0	21.8779005656	11547192.0	48.0
Pig-2-PBMC-3_S69_L008_R2_001	41.6666666667	100.0	52.4799128423	11547192.0	46.0
Pig-2-PBMC-4_S61_L003_R1_001	16.6666666667	28.0	12.7122196622	8563841.0	44.0
Pig-2-PBMC-4_S61_L003_R2_001	25.0	100.0	51.3120404342	8563841.0	47.0
Pig-2-PBMC-4_S70_L005_R1_001	16.6666666667	26.0	16.7060069745	4210577.0	48.0
Pig-2-PBMC-4_S70_L005_R2_001	25.0	100.0	45.913035612	4210577.0	46.0
Pig-2-PBMC-4_S70_L006_R1_001	8.33333333333	26.0	18.0621619688	6695975.0	48.0
Pig-2-PBMC-4_S70_L006_R2_001	33.3333333333	100.0	51.1626156016	6695975.0	47.0
Pig-2-PBMC-4_S70_L007_R1_001	8.33333333333	26.0	17.965005588	6004028.0	47.0
Pig-2-PBMC-4_S70_L007_R2_001	25.0	100.0	48.2730960936	6004028.0	46.0
Pig-2-PBMC-4_S70_L008_R1_001	8.33333333333	26.0	18.4154276923	5462012.0	47.0
Pig-2-PBMC-4_S70_L008_R2_001	25.0	100.0	49.3808676484	5462012.0	46.0
