Module	Section	Sample Name	Source
FastQC	all_sections	Pig-2-PBMC-1_S67_L005_R1_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-1_S67_L005_R1_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-4_S61_L003_R1_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-4_S61_L003_R1_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-4_S70_L006_R1_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-4_S70_L006_R1_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-4_S70_L007_R1_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-4_S70_L007_R1_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-4_S70_L006_R2_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-4_S70_L006_R2_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-4_S61_L003_R2_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-4_S61_L003_R2_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-2_S68_L007_R2_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-2_S68_L007_R2_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-2_S59_L003_R2_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-2_S59_L003_R2_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-4_S70_L008_R2_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-4_S70_L008_R2_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-3_S69_L007_R1_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-3_S69_L007_R1_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-2_S68_L006_R1_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-2_S68_L006_R1_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-1_S58_L003_R1_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-1_S58_L003_R1_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-2_S68_L005_R2_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-2_S68_L005_R2_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-3_S60_L003_R2_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-3_S60_L003_R2_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-1_S67_L005_R2_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-1_S67_L005_R2_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-4_S70_L008_R1_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-4_S70_L008_R1_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-1_S58_L003_R2_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-1_S58_L003_R2_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-2_S68_L006_R2_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-2_S68_L006_R2_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-3_S69_L006_R1_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-3_S69_L006_R1_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-3_S69_L008_R1_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-3_S69_L008_R1_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-1_S67_L006_R2_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-1_S67_L006_R2_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-3_S60_L003_R1_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-3_S60_L003_R1_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-1_S67_L007_R1_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-1_S67_L007_R1_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-4_S70_L005_R2_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-4_S70_L005_R2_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-2_S59_L003_R1_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-2_S59_L003_R1_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-1_S67_L006_R1_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-1_S67_L006_R1_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-2_S68_L008_R2_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-2_S68_L008_R2_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-1_S67_L008_R1_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-1_S67_L008_R1_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-2_S68_L008_R1_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-2_S68_L008_R1_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-4_S70_L007_R2_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-4_S70_L007_R2_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-3_S69_L008_R2_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-3_S69_L008_R2_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-3_S69_L005_R1_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-3_S69_L005_R1_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-4_S70_L005_R1_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-4_S70_L005_R1_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-1_S67_L007_R2_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-1_S67_L007_R2_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-1_S67_L008_R2_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-1_S67_L008_R2_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-3_S69_L005_R2_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-3_S69_L005_R2_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-2_S68_L007_R1_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-2_S68_L007_R1_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-3_S69_L007_R2_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-3_S69_L007_R2_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-3_S69_L006_R2_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-3_S69_L006_R2_001_fastqc.zip
FastQC	all_sections	Pig-2-PBMC-2_S68_L005_R1_001	/project/fsepru/PIGscRNAseq/Pig-2-PBMC/P2PBMC/Pig-2-PBMC-2_S68_L005_R1_001_fastqc.zip
