"CellRanger" "Dashed" "Symbol" "EnsemblID" "Duplicated" "Name"
"1" "TBP_ENSSSCG00000037372" "TBP-ENSSSCG00000037372" "TBP" "ENSSSCG00000037372" FALSE "TBP"
"2" "PSMB1_ENSSSCG00000027257" "PSMB1-ENSSSCG00000027257" "PSMB1" "ENSSSCG00000027257" FALSE "PSMB1"
"3" "FAM120B_ENSSSCG00000029697" "FAM120B-ENSSSCG00000029697" "FAM120B" "ENSSSCG00000029697" FALSE "FAM120B"
"4" "ENSSSCG00000027274" "ENSSSCG00000027274" "ENSSSCG00000027274" "ENSSSCG00000027274" FALSE "ENSSSCG00000027274"
"5" "DLL1_ENSSSCG00000027726" "DLL1-ENSSSCG00000027726" "DLL1" "ENSSSCG00000027726" FALSE "DLL1"
"6" "ENSSSCG00000033475" "ENSSSCG00000033475" "ENSSSCG00000033475" "ENSSSCG00000033475" FALSE "ENSSSCG00000033475"
"7" "ENSSSCG00000035944" "ENSSSCG00000035944" "ENSSSCG00000035944" "ENSSSCG00000035944" FALSE "ENSSSCG00000035944"
"8" "ERMARD_ENSSSCG00000004010" "ERMARD-ENSSSCG00000004010" "ERMARD" "ENSSSCG00000004010" FALSE "ERMARD"
"9" "TCTE3_ENSSSCG00000004009" "TCTE3-ENSSSCG00000004009" "TCTE3" "ENSSSCG00000004009" FALSE "TCTE3"
"10" "PHF10_ENSSSCG00000030155" "PHF10-ENSSSCG00000030155" "PHF10" "ENSSSCG00000030155" FALSE "PHF10"
"11" "C6orf120_ENSSSCG00000038931" "C6orf120-ENSSSCG00000038931" "C6orf120" "ENSSSCG00000038931" FALSE "C6orf120"
"12" "ENSSSCG00000004008" "ENSSSCG00000004008" "ENSSSCG00000004008" "ENSSSCG00000004008" FALSE "ENSSSCG00000004008"
"13" "THBS2_ENSSSCG00000004012" "THBS2-ENSSSCG00000004012" "THBS2" "ENSSSCG00000004012" FALSE "THBS2"
"14" "ENSSSCG00000035661" "ENSSSCG00000035661" "ENSSSCG00000035661" "ENSSSCG00000035661" FALSE "ENSSSCG00000035661"
"15" "ssc-mir-9815_ENSSSCG00000032192" "ssc-mir-9815-ENSSSCG00000032192" "ssc-mir-9815" "ENSSSCG00000032192" FALSE "ssc-mir-9815"
"16" "SMOC2_ENSSSCG00000004013" "SMOC2-ENSSSCG00000004013" "SMOC2" "ENSSSCG00000004013" FALSE "SMOC2"
"17" "ssc-mir-9821_ENSSSCG00000037093" "ssc-mir-9821-ENSSSCG00000037093" "ssc-mir-9821" "ENSSSCG00000037093" FALSE "ssc-mir-9821"
"18" "ENSSSCG00000031703" "ENSSSCG00000031703" "ENSSSCG00000031703" "ENSSSCG00000031703" FALSE "ENSSSCG00000031703"
"19" "FRMD1_ENSSSCG00000004017" "FRMD1-ENSSSCG00000004017" "FRMD1" "ENSSSCG00000004017" FALSE "FRMD1"
"20" "KIF25_ENSSSCG00000004016" "KIF25-ENSSSCG00000004016" "KIF25" "ENSSSCG00000004016" FALSE "KIF25"
"21" "AFDN_ENSSSCG00000004018" "AFDN-ENSSSCG00000004018" "AFDN" "ENSSSCG00000004018" FALSE "AFDN"
"22" "ssc-mir-9824_ENSSSCG00000038097" "ssc-mir-9824-ENSSSCG00000038097" "ssc-mir-9824" "ENSSSCG00000038097" FALSE "ssc-mir-9824"
"23" "UNC93A_ENSSSCG00000027404" "UNC93A-ENSSSCG00000027404" "UNC93A" "ENSSSCG00000027404" FALSE "UNC93A"
"24" "ENSSSCG00000022580" "ENSSSCG00000022580" "ENSSSCG00000022580" "ENSSSCG00000022580" FALSE "ENSSSCG00000022580"
"25" "ENSSSCG00000032403" "ENSSSCG00000032403" "ENSSSCG00000032403" "ENSSSCG00000032403" FALSE "ENSSSCG00000032403"
"26" "GPR31_ENSSSCG00000037137" "GPR31-ENSSSCG00000037137" "GPR31" "ENSSSCG00000037137" FALSE "GPR31"
"27" "CCR6_ENSSSCG00000024562" "CCR6-ENSSSCG00000024562" "CCR6" "ENSSSCG00000024562" FALSE "CCR6"
"28" "ENSSSCG00000034196" "ENSSSCG00000034196" "ENSSSCG00000034196" "ENSSSCG00000034196" FALSE "ENSSSCG00000034196"
